时间,成交量,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,换手率,成交额,市盈率,市净率,市销率,市现率,市值,资金流向
2023-11-02T04:00:00,7711,1.35,1.4,1.27,1.39,0.06,4.51,0.06,10439.0,1.3416,,0.0537,-0.8921,17364053.75,
2023-11-03T04:00:00,10983,1.4,1.4621,1.36,1.42,0.03,2.1583,0.09,15514.0,1.3705,,0.0549,-0.9113,17738817.5,
2023-11-06T05:00:00,3913,1.4296,1.43,1.39,1.39,-0.03,-2.1127,0.03,5543.0,1.3427,,0.0537,-0.8928,17378256.77,
2023-11-07T05:00:00,3176,1.39,1.4148,1.3,1.32,-0.07,-5.04,0.03,4382.0,1.2751,,0.051,-0.8478,16503092.76,
2023-11-08T05:00:00,440,1.29,1.31,1.29,1.31,-0.01,-0.7576,0.0,574.0,1.2654,,0.0506,-0.8414,16378069.33,
2023-11-09T05:00:00,2417,1.29,1.29,1.23,1.23,-0.08,-6.1069,0.02,3015.0,1.1881,,0.0476,-0.79,15377881.89,
2023-11-10T05:00:00,2578,1.22,1.22,1.13,1.2,-0.03,-2.439,0.02,2995.0,1.1591,,0.0464,-0.7708,15002811.6,
2023-11-13T05:00:00,6287,1.1563,1.16,1.139,1.15,-0.05,-4.17,0.05,7239.0,1.1108,,0.0445,-0.7386,14377694.45,
2023-11-14T05:00:00,6560,1.14,1.37,1.14,1.29,0.14,12.17,0.05,8376.0,1.2461,,0.0499,-0.8286,16128022.47,
2023-11-15T05:00:00,3137,1.3,1.4,1.3,1.3899,0.0999,7.7442,0.03,4268.0,1.3427,,0.0537,-0.8928,17378256.77,
2023-11-16T05:00:00,4345,1.4,1.4,1.3,1.3,-0.09,-6.48,0.03,5811.0,1.2557,,0.0503,-0.835,16253045.9,
2023-11-17T05:00:00,4419,1.31,1.31,1.2,1.3,0.0,0.0,0.04,5547.0,1.2557,,0.0503,-0.835,16253045.9,
2023-11-20T05:00:00,4268,1.25,1.3499,1.25,1.3,0.0,0.0,0.03,5526.0,1.2557,,0.0503,-0.835,16253045.9,
2023-11-21T05:00:00,6144,1.35,1.35,1.3,1.3,0.0,0.0,0.05,8054.0,1.2557,,0.0503,-0.835,16253045.9,
2023-11-22T05:00:00,1370,1.3,1.33,1.2901,1.32,0.02,1.5385,0.01,1799.0,1.2751,,0.051,-0.8478,16503092.76,
2023-11-24T05:00:00,1395,1.319,1.35,1.3,1.3184,-0.002,-0.15,0.01,1636.0,1.2731,,0.051,-0.8465,16478088.074,
2023-11-27T05:00:00,4612,1.3,1.3034,1.24,1.24,-0.078,-5.92,0.04,5861.0,1.1978,,0.0479,-0.7965,15502905.32,
2023-11-28T05:00:00,2040,1.2451,1.26,1.235,1.25,0.01,0.8065,0.02,2549.0,1.2074,,0.0483,-0.8029,15627928.75,
2023-11-29T05:00:00,9885,1.25,1.28,1.16,1.19,-0.06,-4.8,0.08,11934.0,1.1495,,0.046,-0.7643,14877788.17,
2023-11-30T05:00:00,3250,1.19,1.25,1.19,1.25,0.06,5.042,0.03,3978.0,1.2074,,0.0483,-0.8029,15627928.75,
2023-12-01T05:00:00,11121,1.28,1.3,1.25,1.29,0.04,3.2,0.09,14175.0,0.8417,,0.0522,-4.6134,16128543.63,
2023-12-04T05:00:00,9759,1.29,1.35,1.29,1.34,0.05,3.88,0.08,12852.0,0.8743,,0.0542,-4.7922,16753680.98,
2023-12-05T05:00:00,46586,1.34,1.42,1.28,1.28,-0.06,-4.4776,0.37,64291.0,0.8352,,0.0518,-4.5777,16003516.16,
2023-12-06T05:00:00,70602,1.3,1.35,1.2,1.25,-0.03,-2.34,0.56,96144.0,0.8156,,0.0506,-4.4704,15628433.75,
2023-12-07T05:00:00,15394,1.27,1.36,1.21,1.21,-0.04,-3.2,0.12,19460.0,0.7895,,0.049,-4.3273,15128323.87,
2023-12-08T05:00:00,13114,1.25,1.33,1.2,1.2,-0.01,-0.83,0.1,16328.0,0.783,,0.0486,-4.2916,15003296.4,
2023-12-11T05:00:00,14681,1.21,1.3437,1.17,1.2,0.0,0.0,0.12,18012.0,0.783,,0.0486,-4.2916,15003296.4,
2023-12-12T05:00:00,25140,1.2,1.4,1.19,1.2,0.0,0.0,0.2,31940.0,0.783,,0.0486,-4.2916,15003296.4,
2023-12-13T05:00:00,12261,1.2,1.2,1.18,1.19,-0.01,-0.83,0.1,14621.0,0.7764,,0.0482,-4.2558,14878268.93,
2023-12-14T05:00:00,34810,1.23,1.3,1.15,1.16,-0.03,-2.52,0.28,42255.0,0.7569,,0.047,-4.1485,14503186.52,
2023-12-15T05:00:00,16488,1.2,1.22,1.16,1.16,0.0,0.0,0.13,19738.0,0.7569,,0.047,-4.1485,14503186.52,
2023-12-18T05:00:00,68969,1.1607,1.23,1.16,1.19,0.03,2.5862,0.55,81972.0,0.7764,,0.0482,-4.2558,14878268.93,
2023-12-19T05:00:00,17179,1.25,1.28,1.19,1.2,0.01,0.84,0.14,20912.0,0.783,,0.0486,-4.2916,15003296.4,
2023-12-20T05:00:00,42877,1.23,1.26,1.2,1.21,0.01,0.8333,0.34,52526.0,0.7895,,0.049,-4.3273,15128323.87,
2023-12-21T05:00:00,25849,1.21,1.31,1.21,1.3,0.09,7.44,0.21,32352.0,0.8482,,0.0526,-4.6492,16253571.1,
2023-12-22T05:00:00,88937,1.31,1.69,1.3,1.66,0.36,27.69,0.71,137291.0,1.0831,,0.0672,-5.9367,20754560.02,
2023-12-26T05:00:00,131635,1.66,2.33,1.66,2.28,0.62,37.35,1.05,280382.0,1.4876,,0.0923,-8.154,28506263.16,
