时间,成交量,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,换手率,成交额,市盈率,市净率,市销率,市现率,市值,资金流向
2023-10-22T16:00:00,27890412800,2969.79,2973.66,2923.51,2939.29,-43.77,-1.47,0.64,304028962456.0,,,,,,
2023-10-23T16:00:00,31098538900,2944.31,2964.76,2929.09,2962.24,22.95,0.78,0.72,339902176877.6,,,,,,
2023-10-24T16:00:00,33239200400,2986.41,2993.3,2972.42,2974.11,11.87,0.4,0.76,362846635549.2,,,,,,
2023-10-25T16:00:00,29181451100,2960.1,2990.33,2956.01,2988.3,14.19,0.48,0.67,332258828044.6,,,,,,
2023-10-26T16:00:00,32180371700,2978.4,3029.21,2974.88,3017.78,29.48,0.99,0.74,385692318100.3,,,,,,
2023-10-29T16:00:00,36060423800,3009.6104,3028.2641,3002.3477,3021.55,3.77,0.12,0.83,439587974769.6,,,,,,
2023-10-30T16:00:00,31985996700,3019.65,3023.0,3006.61,3018.77,-2.78,-0.09,0.73,386277226427.2,,,,,,
2023-10-31T16:00:00,28011044500,3038.18,3038.33,3013.93,3023.08,4.31,0.14,0.64,347121456482.9,,,,,,
2023-11-01T16:00:00,26879458100,3028.66,3038.64,3009.12,3009.41,-13.67,-0.45,0.62,311936400777.8,,,,,,
2023-11-02T16:00:00,26848634700,3012.47,3040.98,3012.47,3030.8,21.39,0.71,0.61,329300477500.6,,,,,,
2023-11-05T16:00:00,37294963000,3047.13,3058.99,3037.69,3058.41,27.61,0.91,0.85,447638159948.7,,,,,,
2023-11-06T16:00:00,32685345500,3052.92,3064.58,3042.47,3057.27,-1.14,-0.04,0.75,401065573918.6,,,,,,
2023-11-07T16:00:00,33567783400,3051.15,3062.99,3037.29,3052.37,-4.9,-0.16,0.77,415289260078.3,,,,,,
2023-11-08T16:00:00,31562176400,3047.65,3063.47,3045.83,3053.28,0.91,0.03,0.72,388556747091.5,,,,,,
2023-11-09T16:00:00,28554649700,3043.56,3044.0,3027.09,3038.97,-14.31,-0.47,0.65,346913084540.2,,,,,,
2023-11-12T16:00:00,29043058800,3044.03,3048.62,3028.17,3046.53,7.56,0.25,0.66,344120017221.8,,,,,,
2023-11-13T16:00:00,29484473300,3046.82,3059.53,3044.43,3056.07,9.54,0.31,0.68,358249840157.5,,,,,,
2023-11-14T16:00:00,30425010700,3077.03,3080.13,3064.35,3072.83,16.76,0.55,0.7,389515977974.7,,,,,,
2023-11-15T16:00:00,27107946000,3066.86,3071.45,3050.93,3050.93,-21.9,-0.71,0.62,329364382654.0,,,,,,
2023-11-16T16:00:00,26760639300,3043.62,3055.86,3033.75,3054.37,3.44,0.11,0.61,328568598825.4,,,,,,
2023-11-19T16:00:00,28755699800,3056.93,3072.51,3043.51,3068.32,13.95,0.46,0.66,367109310168.3,,,,,,
2023-11-20T16:00:00,33073310200,3074.83,3089.77,3063.34,3067.93,-0.39,-0.01,0.76,391558034861.5,,,,,,
2023-11-21T16:00:00,28905649000,3060.5,3067.96,3043.61,3043.61,-24.32,-0.79,0.66,330385482669.4,,,,,,
2023-11-22T16:00:00,27659205900,3041.6779,3062.8665,3034.2969,3061.86,18.25,0.6,0.64,315612515641.2,,,,,,
2023-11-23T16:00:00,28778841300,3060.33,3060.33,3037.2,3040.97,-20.89,-0.68,0.66,311509355931.7,,,,,,
2023-11-26T16:00:00,31051786800,3038.19,3038.36,3015.01,3031.7,-9.27,-0.3,0.71,350705835457.9,,,,,,
2023-11-27T16:00:00,26892074600,3028.6,3039.69,3020.23,3038.55,6.85,0.23,0.62,317303697729.3,,,,,,
2023-11-28T16:00:00,27795644800,3038.46,3038.98,3017.66,3021.69,-16.86,-0.55,0.63,322141206078.7,,,,,,
2023-11-29T16:00:00,28294535700,3021.1,3030.91,3013.77,3029.67,7.98,0.26,0.65,326755696099.9,,,,,,
2023-11-30T16:00:00,28608970000,3027.35,3035.76,3010.23,3031.64,1.97,0.07,0.66,335547176425.7,,,,,,
2023-12-03T16:00:00,28816205300,3033.298,3038.9794,3022.3477,3022.91,-8.73,-0.29,0.66,344279695966.6,,,,,,
2023-12-04T16:00:00,29394327800,3017.01,3017.01,2972.3,2972.3,-50.61,-1.67,0.67,340454488082.6,,,,,,
2023-12-05T16:00:00,29410418700,2966.9475,2985.3143,2959.603,2968.93,-3.37,-0.11,0.67,336218906356.4,,,,,,
2023-12-06T16:00:00,29624368700,2965.65,2976.01,2949.14,2966.21,-2.72,-0.09,0.67,348039623969.4,,,,,,
2023-12-07T16:00:00,36913870500,2965.39,2980.83,2962.33,2969.56,3.35,0.11,0.84,423492311947.3,,,,,,
2023-12-10T16:00:00,36021634400,2956.29,2995.67,2930.42,2991.44,21.88,0.74,0.83,405351583216.2,,,,,,
2023-12-11T16:00:00,28763876200,2986.33,3003.75,2980.45,3003.44,12.0,0.4,0.66,333170576418.7,,,,,,
2023-12-12T16:00:00,28275409800,2997.34,2997.34,2968.76,2968.76,-34.68,-1.15,0.64,331476614720.7,,,,,,
2023-12-13T16:00:00,27145765000,2979.7,2986.18,2958.07,2958.99,-9.77,-0.33,0.62,312658124559.8,,,,,,
2023-12-14T16:00:00,28932764200,2966.3,2976.31,2940.03,2942.56,-16.43,-0.56,0.66,322083690788.2,,,,,,
2023-12-17T16:00:00,29308699900,2936.58,2951.15,2924.33,2930.8,-11.76,-0.4,0.67,304915892999.5,,,,,,
2023-12-18T16:00:00,26592698000,2928.76,2940.5,2914.13,2932.39,1.59,0.05,0.61,283234126181.9,,,,,,
2023-12-19T16:00:00,26556245400,2932.12,2937.1,2902.04,2902.11,-30.28,-1.03,0.61,290838402139.4,,,,,,
2023-12-20T16:00:00,28254182700,2892.02,2924.26,2882.02,2918.71,16.6,0.57,0.64,315943775543.6,,,,,,
2023-12-21T16:00:00,29662836700,2919.29,2935.7,2906.51,2914.78,-3.93,-0.13,0.68,327498019580.5,,,,,,
2023-12-24T16:00:00,22981417800,2909.88,2920.63,2903.99,2918.81,4.03,0.14,0.52,261487251019.0,,,,,,
2023-12-25T16:00:00,22814085500,2917.97,2917.97,2892.84,2898.88,-19.93,-0.68,0.52,260220552772.7,,,,,,
2023-12-26T16:00:00,24790088200,2900.15,2917.96,2890.17,2914.61,15.73,0.54,0.56,279048608009.4,,,,,,
2023-12-27T16:00:00,33921311600,2913.11,2961.65,2909.39,2954.7,40.09,1.38,0.77,392449073493.3,,,,,,
2023-12-28T16:00:00,29067268700,2950.84,2975.03,2950.02,2974.93,20.23,0.68,0.66,349002967266.4,,,,,,
2024-01-01T16:00:00,30414179300,2972.78,2976.27,2962.28,2962.28,-12.65,-0.43,0.69,345950729194.6,,,,,,
2024-01-02T16:00:00,28545594500,2957.11,2971.28,2953.29,2967.25,4.97,0.17,0.64,321018391310.1,,,,,,
2024-01-03T16:00:00,26498092400,2965.5087,2966.6828,2936.6347,2954.35,-12.9,-0.43,0.6,296291346878.8,,,,,,
2024-01-04T16:00:00,30104023900,2949.82,2967.97,2916.72,2929.18,-25.17,-0.85,0.68,325917001164.6,,,,,,
2024-01-07T16:00:00,27027505500,2923.46,2924.46,2887.54,2887.54,-41.64,-1.42,0.62,290730589588.8,,,,,,
2024-01-08T16:00:00,26295597500,2887.11,2900.73,2878.41,2893.25,5.71,0.2,0.59,294446373682.5,,,,,,
2024-01-09T16:00:00,24404652600,2886.98,2903.16,2870.42,2877.7,-15.55,-0.54,0.56,281192192419.3,,,,,,
2024-01-10T16:00:00,26705076400,2873.8,2896.18,2867.72,2886.65,8.95,0.31,0.61,298552532937.0,,,,,,
2024-01-11T16:00:00,26160293100,2880.04,2904.17,2878.88,2881.98,-4.67,-0.16,0.6,282877466332.8,,,,,,
2024-01-14T16:00:00,24461123600,2872.56,2904.46,2869.22,2886.29,4.31,0.15,0.56,269229737081.5,,,,,,
2024-01-15T16:00:00,28628671400,2881.56,2896.68,2861.13,2893.99,7.7,0.27,0.65,300837919168.5,,,,,,
2024-01-16T16:00:00,26125130800,2887.29,2887.49,2833.62,2833.62,-60.37,-2.09,0.59,283073939817.7,,,,,,
2024-01-17T16:00:00,39039685500,2822.67,2849.26,2760.98,2845.78,12.16,0.43,0.89,400709904734.2,,,,,,
2024-01-18T16:00:00,26666438800,2836.97,2849.88,2822.84,2832.28,-13.5,-0.47,0.6,296717043828.4,,,,,,
2024-01-21T16:00:00,35016575800,2826.5,2828.32,2735.37,2756.34,-75.94,-2.68,0.79,359918989570.1,,,,,,
2024-01-22T16:00:00,30874941700,2746.89,2784.84,2724.16,2770.98,14.64,0.53,0.7,312191330216.9,,,,,,
2024-01-23T16:00:00,36907060000,2782.14,2823.7,2743.4,2820.77,49.79,1.8,0.84,357316181644.3,,,,,,
2024-01-24T16:00:00,44200904500,2823.83,2906.79,2821.71,2906.11,85.34,3.03,1.0,437679811285.5,,,,,,
2024-01-25T16:00:00,42110908400,2897.91,2924.31,2890.48,2910.22,4.11,0.14,0.96,402400231262.6,,,,,,
2024-01-28T16:00:00,41058131100,2910.61,2923.9,2883.33,2883.36,-26.86,-0.92,0.93,397014731369.9,,,,,,
2024-01-29T16:00:00,33566122600,2866.28,2881.35,2829.25,2830.53,-52.83,-1.83,0.76,329254005891.9,,,,,,
2024-01-30T16:00:00,37710396500,2815.5042,2834.011,2782.5869,2788.55,-41.98,-1.48,0.86,355636999833.5,,,,,,
2024-01-31T16:00:00,35288918500,2773.42,2805.01,2752.78,2770.74,-17.81,-0.64,0.8,337547960520.8,,,,,,
2024-02-01T16:00:00,42623019900,2773.29,2791.68,2666.33,2730.15,-40.59,-1.46,0.96,392661142297.9,,,,,,
2024-02-04T16:00:00,47899029200,2716.081,2739.7383,2635.0897,2702.18,-27.97,-1.02,1.09,424877418268.6,,,,,,
2024-02-05T16:00:00,50284931300,2680.48,2802.93,2669.67,2789.49,87.3,3.23,1.14,441215054098.9,,,,,,
2024-02-06T16:00:00,54711743900,2791.51,2829.7,2770.53,2829.7,40.21,1.44,1.24,495919878083.4,,,,,,
2024-02-07T16:00:00,53110889300,2832.49,2867.47,2827.9,2865.9,36.2,1.28,1.21,482939732024.6,,,,,,
2024-02-18T16:00:00,45896770400,2886.5871,2910.544,2867.7103,2910.54,44.64,1.56,1.04,442148454574.5,,,,,,
2024-02-19T16:00:00,35013873500,2902.88,2927.31,2887.47,2922.73,12.19,0.42,0.8,357057491972.6,,,,,,
2024-02-20T16:00:00,44424546300,2906.02,2994.61,2898.05,2950.96,28.23,0.97,1.0,450922050718.1,,,,,,
2024-02-21T16:00:00,35413253600,2945.45,2988.36,2944.5,2988.36,37.4,1.27,0.8,365264217873.3,,,,,,
2024-02-22T16:00:00,38008327000,2992.91,3009.14,2979.97,3004.88,16.52,0.55,0.86,398232220674.3,,,,,,
2024-02-25T16:00:00,40902655800,3002.12,3009.48,2967.06,2977.02,-27.86,-0.93,0.93,427564895756.7,,,,,,
2024-02-26T16:00:00,37298468700,2966.42,3015.48,2961.15,3015.48,38.46,1.29,0.85,412614978516.7,,,,,,
2024-02-27T16:00:00,54410909300,3016.26,3031.49,2957.85,2957.85,-57.63,-1.91,1.23,576555221675.0,,,,,,
2024-02-28T16:00:00,40969637400,2943.62,3015.17,2943.62,3015.17,57.32,1.94,0.93,452808746134.9,,,,,,
2024-02-29T16:00:00,37913218400,3013.82,3032.23,3003.76,3027.02,11.85,0.39,0.86,442984248197.1,,,,,,
2024-03-03T16:00:00,38776000200,3026.61,3040.34,3007.68,3039.31,12.29,0.41,0.87,461727516644.8,,,,,,
2024-03-04T16:00:00,38350995500,3027.1,3052.54,3022.18,3047.79,8.48,0.28,0.87,458900476785.5,,,,,,
2024-03-05T16:00:00,34098273900,3041.75,3060.56,3034.35,3039.93,-7.86,-0.26,0.77,401334635599.7,,,,,,
2024-03-06T16:00:00,37715439100,3040.21,3063.69,3023.12,3027.4,-12.53,-0.41,0.85,423391257039.7,,,,,,
2024-03-07T16:00:00,31920439200,3026.17,3049.19,3016.9,3046.02,18.62,0.62,0.72,370647474769.4,,,,,,
2024-03-10T16:00:00,36160882100,3042.62,3068.46,3035.45,3068.46,22.44,0.74,0.81,427851361287.9,,,,,,
2024-03-11T16:00:00,41574391400,3068.182,3075.1308,3044.8572,3055.93,-12.53,-0.41,0.94,494558502794.2,,,,,,
2024-03-12T16:00:00,36504745300,3053.34,3061.95,3031.9,3043.83,-12.11,-0.4,0.83,442453946274.1,,,,,,
2024-03-13T16:00:00,36407229000,3042.41,3060.0,3020.64,3038.23,-5.6,-0.18,0.82,436338838339.8,,,,,,
